customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
56,0,16,711.59,4,3,1,431,Loyal Customers
57,5,19,979.3,3,4,1,341,Loyal Customers
58,7,19,1090.54,2,4,1,241,Needs Attention
59,3,18,900.53,3,3,1,331,Loyal Customers
60,0,19,819.5,4,4,1,441,Loyal Customers
61,0,12,384.29,4,1,1,411,New Customers
62,10,14,517.97,2,2,1,221,Lost
63,16,11,510.77,1,1,1,111,Lost
64,3,16,825.61,3,3,1,331,Loyal Customers
65,6,12,537.96,2,1,1,211,Lost
66,3,9,384.11,3,1,1,311,Potential Loyalist
67,21,7,228.99,1,1,1,111,Lost
68,0,19,1016.63,4,4,1,441,Loyal Customers
69,7,17,850.79,2,3,1,231,Needs Attention
70,2,19,880.36,4,4,1,441,Loyal Customers
71,2,17,681.39,4,3,1,431,Loyal Customers
72,31,12,649.13,1,1,1,111,Lost
73,1,16,709.15,4,3,1,431,Loyal Customers
74,8,14,617.63,2,2,1,221,Lost
75,1,16,687.03,4,3,1,431,Loyal Customers
76,12,10,576.14,1,1,1,111,Lost
77,10,12,643.98,2,1,1,211,Lost
78,22,12,558.27,1,1,1,111,Lost
79,14,13,656.88,1,2,1,121,Lost
80,7,13,553.73,2,2,1,221,Lost
81,1,17,825.49,4,3,1,431,Loyal Customers
82,0,26,1400.01,4,4,1,441,Loyal Customers
83,12,17,802.71,1,3,1,131,Needs Attention
84,52,7,216.98000000000002,1,1,1,111,Lost
85,13,16,858.55,1,3,1,131,Needs Attention
86,9,17,828.98,2,3,1,231,Needs Attention
87,2,20,995.3199999999999,4,4,1,441,Loyal Customers
88,22,9,520.89,1,1,1,111,Lost
89,7,10,489.45,2,1,1,211,Lost
90,1,19,796.24,4,4,1,441,Loyal Customers
91,0,12,515.21,4,1,1,411,New Customers
92,25,18,853.94,1,3,1,131,Needs Attention
93,15,10,522.89,1,1,1,111,Lost
94,6,14,458.06,2,2,1,221,Lost
95,15,21,1077.31,1,4,1,141,Needs Attention
96,1,12,583.56,4,1,1,411,New Customers
97,7,12,529.57,2,1,1,211,Lost
98,56,9,425.73,1,1,1,111,Lost
99,5,14,779.37,3,2,1,321,Potential Loyalist
100,6,18,1019.75,2,3,1,231,Needs Attention
101,3,13,585.8,3,2,1,321,Potential Loyalist
102,2,17,761.0799999999999,4,3,1,431,Loyal Customers
103,7,15,648.25,2,2,1,221,Lost
104,1,14,673.24,4,2,1,421,New Customers
105,5,12,631.38,3,1,1,311,Potential Loyalist
106,16,10,506.63,1,1,1,111,Lost
107,12,9,460.11,1,1,1,111,Lost
108,0,19,745.0,4,4,1,441,Loyal Customers
109,8,11,579.28,2,1,1,211,Lost
110,1,15,615.48,4,2,1,421,New Customers
111,19,20,847.16,1,4,1,141,Needs Attention
112,0,16,761.77,4,3,1,431,Loyal Customers
113,3,10,438.65999999999997,3,1,1,311,Potential Loyalist
114,21,16,657.46,1,3,1,131,Needs Attention
115,15,14,813.77,1,2,1,121,Lost
116,18,17,680.74,1,3,1,131,Needs Attention
117,2,18,866.45,4,3,1,431,Loyal Customers
118,44,11,480.67,1,1,1,111,Lost
119,6,13,477.3,2,2,1,221,Lost
120,3,13,589.09,3,2,1,321,Potential Loyalist
121,1,21,1073.66,4,4,1,441,Loyal Customers
122,1,13,690.27,4,2,1,421,New Customers
123,3,17,746.8,3,3,1,331,Loyal Customers
124,13,19,716.89,1,4,1,141,Needs Attention
125,14,11,417.19,1,1,1,111,Lost
126,3,16,978.87,3,3,1,331,Loyal Customers
127,11,14,679.82,2,2,1,221,Lost
128,2,20,1045.48,4,4,1,441,Loyal Customers
129,0,15,804.91,4,2,1,421,New Customers
130,27,11,586.16,1,1,1,111,Lost
131,18,14,614.26,1,2,1,121,Lost
132,0,14,789.27,4,2,1,421,New Customers
133,19,16,694.51,1,3,1,131,Needs Attention
134,9,4,71.25,2,1,1,211,Lost
135,1,20,1103.93,4,4,1,441,Loyal Customers
136,4,14,627.0600000000001,3,2,1,321,Potential Loyalist
137,26,20,954.35,1,4,1,141,Needs Attention
138,5,20,820.02,3,4,1,341,Loyal Customers
139,0,16,833.48,4,3,1,431,Loyal Customers
140,36,8,319.27,1,1,1,111,Lost
141,23,17,875.07,1,3,1,131,Needs Attention
142,2,21,1100.71,4,4,1,441,Loyal Customers
143,15,13,682.48,1,2,1,121,Lost
144,7,15,769.84,2,2,1,221,Lost
145,0,18,807.74,4,3,1,431,Loyal Customers
146,10,14,699.3199999999999,2,2,1,221,Lost
147,4,10,510.8,3,1,1,311,Potential Loyalist
148,6,24,1269.41,2,4,1,241,Needs Attention
149,6,13,606.37,2,2,1,221,Lost
150,5,25,1097.19,3,4,1,341,Loyal Customers
151,4,19,950.55,3,4,1,341,Loyal Customers
152,1,18,1095.27,4,3,1,431,Loyal Customers
153,0,12,573.8199999999999,4,1,1,411,New Customers
154,7,15,703.91,2,2,1,221,Lost
155,7,9,314.49,2,1,1,211,Lost
156,10,18,1032.27,2,3,1,231,Needs Attention
157,8,16,833.92,2,3,1,231,Needs Attention
158,8,17,783.02,2,3,1,231,Needs Attention
159,2,16,767.31,4,3,1,431,Loyal Customers
160,10,14,837.24,2,2,1,221,Lost
161,3,16,829.36,3,3,1,331,Loyal Customers
162,2,19,628.35,4,4,1,441,Loyal Customers
163,4,17,798.22,3,3,1,331,Loyal Customers
164,0,17,685.07,4,3,1,431,Loyal Customers
165,0,18,696.78,4,3,1,431,Loyal Customers
166,9,12,532.68,2,1,1,211,Lost
167,15,12,574.68,1,1,1,111,Lost
168,0,12,585.26,4,1,1,411,New Customers
169,1,18,914.99,4,3,1,431,Loyal Customers
170,1,11,505.21,4,1,1,411,New Customers
171,8,19,1026.34,2,4,1,241,Needs Attention
172,0,17,814.78,4,3,1,431,Loyal Customers
173,12,18,749.48,1,3,1,131,Needs Attention
174,15,17,873.0699999999999,1,3,1,131,Needs Attention
175,9,15,781.26,2,2,1,221,Lost
176,5,13,547.36,3,2,1,321,Potential Loyalist
177,6,19,958.99,2,4,1,241,Needs Attention
178,6,15,651.77,2,2,1,221,Lost
179,9,26,1309.2,2,4,1,241,Needs Attention
180,10,19,691.89,2,4,1,241,Needs Attention
181,22,20,999.1800000000001,1,4,1,141,Needs Attention
182,16,12,487.49,1,1,1,111,Lost
183,5,15,669.97,3,2,1,321,Potential Loyalist
184,14,20,1008.24,1,4,1,141,Needs Attention
185,17,18,884.63,1,3,1,131,Needs Attention
186,12,19,1000.63,1,4,1,141,Needs Attention
187,8,19,882.88,2,4,1,241,Needs Attention
188,4,14,800.76,3,2,1,321,Potential Loyalist
189,0,9,354.45,4,1,1,411,New Customers
190,9,12,556.48,2,1,1,211,Lost
191,7,15,528.0699999999999,2,2,1,221,Lost
192,1,10,444.87,4,1,1,411,New Customers
193,3,24,1216.04,3,4,1,341,Loyal Customers
194,8,15,515.7,2,2,1,221,Lost
195,3,14,709.8299999999999,3,2,1,321,Potential Loyalist
196,1,21,949.17,4,4,1,441,Loyal Customers
197,1,20,1014.04,4,4,1,441,Loyal Customers
198,6,20,904.92,2,4,1,241,Needs Attention
199,13,14,744.0600000000001,1,2,1,121,Lost
200,2,14,695.11,4,2,1,421,New Customers
201,9,13,506.15,2,2,1,221,Lost
202,8,13,549.68,2,2,1,221,Lost
203,3,14,617.59,3,2,1,321,Potential Loyalist
204,3,11,483.35,3,1,1,311,Potential Loyalist
205,0,16,851.16,4,3,1,431,Loyal Customers
206,5,12,464.68,3,1,1,311,Potential Loyalist
207,6,17,818.12,2,3,1,231,Needs Attention
208,5,20,987.51,3,4,1,341,Loyal Customers
209,3,18,903.94,3,3,1,331,Loyal Customers
210,10,16,773.16,2,3,1,231,Needs Attention
211,1,13,641.99,4,2,1,421,New Customers
212,9,11,541.41,2,1,1,211,Lost
213,3,23,1070.1200000000001,3,4,1,341,Loyal Customers
214,6,20,958.4,2,4,1,241,Needs Attention
215,16,18,1065.58,1,3,1,131,Needs Attention
216,44,10,526.46,1,1,1,111,Lost
217,2,18,897.5699999999999,4,3,1,431,Loyal Customers
218,0,18,987.69,4,3,1,431,Loyal Customers
219,1,16,802.44,4,3,1,431,Loyal Customers
220,3,18,770.04,3,3,1,331,Loyal Customers
221,9,18,932.9399999999999,2,3,1,231,Needs Attention
222,3,18,899.48,3,3,1,331,Loyal Customers
223,7,19,833.02,2,4,1,241,Needs Attention
224,2,8,433.37,4,1,1,411,New Customers
225,16,19,1000.47,1,4,1,141,Needs Attention
226,10,15,683.29,2,2,1,221,Lost
227,0,12,522.47,4,1,1,411,New Customers
228,6,15,593.45,2,2,1,221,Lost
229,19,8,414.39,1,1,1,111,Lost
230,0,7,313.2,4,1,1,411,New Customers
231,5,18,946.2,3,3,1,331,Loyal Customers
232,7,14,563.31,2,2,1,221,Lost
233,27,11,310.66,1,1,1,111,Lost
234,0,21,944.07,4,4,1,441,Loyal Customers
235,1,12,601.76,4,1,1,411,New Customers
236,3,21,816.25,3,4,1,341,Loyal Customers
237,26,18,748.64,1,3,1,131,Needs Attention
238,3,11,633.37,3,1,1,311,Potential Loyalist
239,17,19,1044.75,1,4,1,141,Needs Attention
240,15,11,499.98,1,1,1,111,Lost
241,3,12,688.33,3,1,1,311,Potential Loyalist
242,1,18,874.51,4,3,1,431,Loyal Customers
243,1,10,440.01,4,1,1,411,New Customers
244,0,11,611.06,4,1,1,411,New Customers
245,6,15,634.94,2,2,1,221,Lost
246,34,16,812.61,1,3,1,131,Needs Attention
247,38,19,829.6,1,4,1,141,Needs Attention
248,5,10,475.77,3,1,1,311,Potential Loyalist
249,7,14,619.58,2,2,1,221,Lost
250,4,23,1188.47,3,4,1,341,Loyal Customers
251,36,9,448.93,1,1,1,111,Lost
252,2,15,579.68,4,2,1,421,New Customers
253,1,16,721.49,4,3,1,431,Loyal Customers
254,18,8,460.78999999999996,1,1,1,111,Lost
255,6,16,869.29,2,3,1,231,Needs Attention
256,2,12,694.96,4,1,1,411,New Customers
257,7,15,607.89,2,2,1,221,Lost
258,2,17,640.83,4,3,1,431,Loyal Customers
259,11,10,494.82,2,1,1,211,Lost
260,6,14,624.31,2,2,1,221,Lost
261,1,15,767.26,4,2,1,421,New Customers
262,23,13,688.99,1,2,1,121,Lost
263,16,15,760.12,1,2,1,121,Lost
264,8,9,436.97,2,1,1,211,Lost
265,0,18,733.0,4,3,1,431,Loyal Customers
266,3,14,689.85,3,2,1,321,Potential Loyalist
267,11,16,752.55,2,3,1,231,Needs Attention
268,16,16,765.76,1,3,1,131,Needs Attention
269,2,12,435.75,4,1,1,411,New Customers
270,0,16,902.04,4,3,1,431,Loyal Customers
271,6,17,756.25,2,3,1,231,Needs Attention
272,10,9,331.18,2,1,1,211,Lost
273,10,16,660.78,2,3,1,231,Needs Attention
274,7,12,760.66,2,1,1,211,Lost
275,3,16,787.95,3,3,1,331,Loyal Customers
276,1,16,764.62,4,3,1,431,Loyal Customers
277,34,12,598.86,1,1,1,111,Lost
278,7,16,757.97,2,3,1,231,Needs Attention
279,7,15,606.6800000000001,2,2,1,221,Lost
280,2,15,601.52,4,2,1,421,New Customers
281,26,20,921.77,1,4,1,141,Needs Attention
282,8,21,1141.74,2,4,1,241,Needs Attention
283,0,10,365.59000000000003,4,1,1,411,New Customers
284,0,21,1064.75,4,4,1,441,Loyal Customers
285,0,23,1098.45,4,4,1,441,Loyal Customers
286,4,17,880.61,3,3,1,331,Loyal Customers
287,3,13,449.07,3,2,1,321,Potential Loyalist
288,3,16,882.27,3,3,1,331,Loyal Customers
289,0,15,640.15,4,2,1,421,New Customers
290,1,25,1005.7,4,4,1,441,Loyal Customers
291,14,17,796.93,1,3,1,131,Needs Attention
292,14,15,578.0,1,2,1,121,Lost
293,22,16,704.96,1,3,1,131,Needs Attention
294,6,21,886.8100000000001,2,4,1,241,Needs Attention
295,3,11,535.49,3,1,1,311,Potential Loyalist
296,4,16,685.23,3,3,1,331,Loyal Customers
297,6,10,461.5,2,1,1,211,Lost
298,18,20,1051.22,1,4,1,141,Needs Attention
299,5,14,708.47,3,2,1,321,Potential Loyalist
300,0,18,978.3,4,3,1,431,Loyal Customers
301,0,15,673.37,4,2,1,421,New Customers
302,16,11,509.39,1,1,1,111,Lost
303,19,9,385.69,1,1,1,111,Lost
304,2,17,838.7,4,3,1,431,Loyal Customers
305,20,10,376.91,1,1,1,111,Lost
306,5,23,1156.24,3,4,1,341,Loyal Customers
307,5,16,726.98,3,3,1,331,Loyal Customers
308,3,19,807.85,3,4,1,341,Loyal Customers
309,3,10,523.98,3,1,1,311,Potential Loyalist
310,19,16,700.03,1,3,1,131,Needs Attention
311,11,12,614.46,2,1,1,211,Lost
312,9,13,654.1,2,2,1,221,Lost
313,7,4,262.75,2,1,1,211,Lost
314,2,13,676.54,4,2,1,421,New Customers
315,1,12,467.97,4,1,1,411,New Customers
316,6,15,832.5699999999999,2,2,1,221,Lost
317,3,14,722.59,3,2,1,321,Potential Loyalist
318,16,13,621.66,1,2,1,121,Lost
319,6,16,715.1,2,3,1,231,Needs Attention
320,15,21,901.6700000000001,1,4,1,141,Needs Attention
321,0,13,488.09000000000003,4,2,1,421,New Customers
322,0,17,770.72,4,3,1,431,Loyal Customers
323,0,16,914.47,4,3,1,431,Loyal Customers
324,6,13,564.7,2,2,1,221,Lost
325,4,11,554.31,3,1,1,311,Potential Loyalist
326,4,16,655.87,3,3,1,331,Loyal Customers
327,19,17,792.39,1,3,1,131,Needs Attention
328,4,13,628.3299999999999,3,2,1,321,Potential Loyalist
329,32,10,459.53999999999996,1,1,1,111,Lost
330,11,17,698.54,2,3,1,231,Needs Attention
331,5,19,1060.81,3,4,1,341,Loyal Customers
332,15,13,643.0899999999999,1,2,1,121,Lost
333,5,15,701.6,3,2,1,321,Potential Loyalist
334,1,17,793.49,4,3,1,431,Loyal Customers
335,15,20,908.66,1,4,1,141,Needs Attention
336,1,10,544.8,4,1,1,411,New Customers
337,6,17,756.72,2,3,1,231,Needs Attention
338,13,17,631.32,1,3,1,131,Needs Attention
339,7,10,606.41,2,1,1,211,Lost
340,15,16,885.6899999999999,1,3,1,131,Needs Attention
341,6,24,1039.56,2,4,1,241,Needs Attention
342,27,13,675.41,1,2,1,121,Lost
343,0,14,523.34,4,2,1,421,New Customers
344,18,10,392.6,1,1,1,111,Lost
345,9,17,738.7,2,3,1,231,Needs Attention
346,3,10,458.49,3,1,1,311,Potential Loyalist
347,8,11,551.18,2,1,1,211,Lost
348,25,17,664.05,1,3,1,131,Needs Attention
349,14,13,445.09,1,2,1,121,Lost
350,13,15,760.4,1,2,1,121,Lost
351,19,17,600.13,1,3,1,131,Needs Attention
352,13,11,313.21,1,1,1,111,Lost
353,0,16,771.97,4,3,1,431,Loyal Customers
354,18,16,795.66,1,3,1,131,Needs Attention
355,4,22,927.95,3,4,1,341,Loyal Customers
356,17,22,849.97,1,4,1,141,Needs Attention
357,3,18,850.21,3,3,1,331,Loyal Customers
358,12,20,827.27,1,4,1,141,Needs Attention
359,13,13,641.04,1,2,1,121,Lost
360,40,6,248.47,1,1,1,111,Lost
361,13,10,531.8199999999999,1,1,1,111,Lost
362,6,13,767.02,2,2,1,221,Lost
363,2,22,932.77,4,4,1,441,Loyal Customers
364,0,13,740.86,4,2,1,421,New Customers
365,6,11,384.77,2,1,1,211,Lost
366,7,17,737.99,2,3,1,231,Needs Attention
367,3,14,714.8199999999999,3,2,1,321,Potential Loyalist
368,9,19,810.1800000000001,2,4,1,241,Needs Attention
369,6,16,795.61,2,3,1,231,Needs Attention
370,1,14,677.55,4,2,1,421,New Customers
371,9,16,744.88,2,3,1,231,Needs Attention
372,12,14,790.78,1,2,1,121,Lost
373,32,12,513.86,1,1,1,111,Lost
374,3,18,946.24,3,3,1,331,Loyal Customers
375,4,17,722.65,3,3,1,331,Loyal Customers
376,0,14,562.61,4,2,1,421,New Customers
377,1,23,1098.83,4,4,1,441,Loyal Customers
378,18,14,641.26,1,2,1,121,Lost
379,16,10,550.36,1,1,1,111,Lost
380,11,17,759.76,2,3,1,231,Needs Attention
381,7,16,815.58,2,3,1,231,Needs Attention
382,14,14,612.36,1,2,1,121,Lost
383,12,17,757.18,1,3,1,131,Needs Attention
384,25,18,780.92,1,3,1,131,Needs Attention
385,0,24,1084.26,4,4,1,441,Loyal Customers
386,4,15,708.3,3,2,1,321,Potential Loyalist
387,10,6,276.84999999999997,2,1,1,211,Lost
388,11,23,1003.35,2,4,1,241,Needs Attention
389,17,15,591.36,1,2,1,121,Lost
390,6,18,927.98,2,3,1,231,Needs Attention
391,12,11,542.29,1,1,1,111,Lost
392,4,19,926.41,3,4,1,341,Loyal Customers
393,14,18,752.76,1,3,1,131,Needs Attention
394,3,16,800.9,3,3,1,331,Loyal Customers
395,2,12,455.24,4,1,1,411,New Customers
396,19,14,565.74,1,2,1,121,Lost
397,9,11,406.67,2,1,1,211,Lost
398,0,15,632.71,4,2,1,421,New Customers
399,11,14,624.13,2,2,1,221,Lost
400,13,14,498.25,1,2,1,121,Lost
401,7,13,584.53,2,2,1,221,Lost
402,3,21,1036.35,3,4,1,341,Loyal Customers
403,4,18,742.95,3,3,1,331,Loyal Customers
404,6,12,605.02,2,1,1,211,Lost
405,4,12,574.4,3,1,1,311,Potential Loyalist
406,0,14,679.55,4,2,1,421,New Customers
407,3,14,613.61,3,2,1,321,Potential Loyalist
408,16,9,390.99,1,1,1,111,Lost
409,11,21,945.32,2,4,1,241,Needs Attention
410,4,14,562.25,3,2,1,321,Potential Loyalist
411,18,12,583.14,1,1,1,111,Lost
412,5,18,820.11,3,3,1,331,Loyal Customers
413,13,13,511.54,1,2,1,121,Lost
414,4,13,767.61,3,2,1,321,Potential Loyalist
415,0,11,484.26,4,1,1,411,New Customers
416,15,13,536.5,1,2,1,121,Lost
417,3,14,868.25,3,2,1,321,Potential Loyalist
418,24,11,498.56,1,1,1,111,Lost
419,1,17,771.03,4,3,1,431,Loyal Customers
420,4,13,576.85,3,2,1,321,Potential Loyalist
421,3,14,557.97,3,2,1,321,Potential Loyalist
422,24,11,591.29,1,1,1,111,Lost
423,3,16,840.71,3,3,1,331,Loyal Customers
424,0,12,439.41,4,1,1,411,New Customers
425,1,18,954.42,4,3,1,431,Loyal Customers
426,4,26,1399.11,3,4,1,341,Loyal Customers
427,7,15,724.68,2,2,1,221,Lost
428,9,9,501.04,2,1,1,211,Lost
429,22,14,580.73,1,2,1,121,Lost
430,4,17,856.32,3,3,1,331,Loyal Customers
431,7,12,634.88,2,1,1,211,Lost
432,5,11,480.13,3,1,1,311,Potential Loyalist
433,47,11,531.95,1,1,1,111,Lost
434,26,9,393.71999999999997,1,1,1,111,Lost
435,21,8,273.19,1,1,1,111,Lost
436,1,19,944.77,4,4,1,441,Loyal Customers
437,8,15,599.84,2,2,1,221,Lost
438,11,14,498.58,2,2,1,221,Lost
439,3,12,650.98,3,1,1,311,Potential Loyalist
440,1,12,546.5,4,1,1,411,New Customers
441,5,23,987.92,3,4,1,341,Loyal Customers
442,0,20,844.52,4,4,1,441,Loyal Customers
443,0,23,1296.84,4,4,1,441,Loyal Customers
444,0,11,457.66999999999996,4,1,1,411,New Customers
445,0,20,894.4399999999999,4,4,1,441,Loyal Customers
446,20,20,1044.56,1,4,1,141,Needs Attention
447,14,17,896.59,1,3,1,131,Needs Attention
448,1,13,616.26,4,2,1,421,New Customers
449,11,15,479.98,2,2,1,221,Lost
450,20,10,481.52,1,1,1,111,Lost
451,0,17,778.37,4,3,1,431,Loyal Customers
452,16,13,497.62,1,2,1,121,Lost
453,10,17,849.26,2,3,1,231,Needs Attention
454,6,15,592.21,2,2,1,221,Lost
455,2,19,681.95,4,4,1,441,Loyal Customers
456,2,15,594.13,4,2,1,421,New Customers
457,3,16,605.01,3,3,1,331,Loyal Customers
458,5,27,1344.99,3,4,1,341,Loyal Customers
459,3,14,828.35,3,2,1,321,Potential Loyalist
460,13,14,639.85,1,2,1,121,Lost
461,34,17,904.13,1,3,1,131,Needs Attention
462,2,15,482.6,4,2,1,421,New Customers
463,6,14,567.63,2,2,1,221,Lost
464,9,11,470.78,2,1,1,211,Lost
465,11,20,938.11,2,4,1,241,Needs Attention
466,6,15,550.63,2,2,1,221,Lost
467,0,18,970.64,4,3,1,431,Loyal Customers
468,2,17,662.75,4,3,1,431,Loyal Customers
469,0,16,835.16,4,3,1,431,Loyal Customers
470,3,10,431.9,3,1,1,311,Potential Loyalist
471,10,19,840.3199999999999,2,4,1,241,Needs Attention
472,0,23,747.75,4,4,1,441,Loyal Customers
473,7,20,880.72,2,4,1,241,Needs Attention
474,7,13,522.23,2,2,1,221,Lost
475,6,16,835.46,2,3,1,231,Needs Attention
476,1,20,1092.26,4,4,1,441,Loyal Customers
477,12,17,712.68,1,3,1,131,Needs Attention
478,2,18,923.93,4,3,1,431,Loyal Customers
479,10,13,487.46999999999997,2,2,1,221,Lost
480,7,14,752.35,2,2,1,221,Lost
481,14,12,574.69,1,1,1,111,Lost
482,3,9,337.78,3,1,1,311,Potential Loyalist
483,1,16,878.66,4,3,1,431,Loyal Customers
484,0,14,848.14,4,2,1,421,New Customers
485,8,13,562.38,2,2,1,221,Lost
486,2,17,874.27,4,3,1,431,Loyal Customers
487,15,16,611.6700000000001,1,3,1,131,Needs Attention
488,0,11,488.65,4,1,1,411,New Customers
489,15,16,750.16,1,3,1,131,Needs Attention
490,8,16,821.16,2,3,1,231,Needs Attention
491,0,12,700.41,4,1,1,411,New Customers
492,5,27,1335.01,3,4,1,341,Loyal Customers
493,22,15,677.35,1,2,1,121,Lost
494,0,7,332.0,4,1,1,411,New Customers
495,4,15,650.03,3,2,1,321,Potential Loyalist
496,2,11,498.37,4,1,1,411,New Customers
497,0,20,952.65,4,4,1,441,Loyal Customers
498,18,15,664.86,1,2,1,121,Lost
499,7,14,561.11,2,2,1,221,Lost
500,10,16,739.92,2,3,1,231,Needs Attention
501,9,23,984.24,2,4,1,241,Needs Attention
502,4,12,506.15,3,1,1,311,Potential Loyalist
503,6,16,685.62,2,3,1,231,Needs Attention
504,8,13,617.68,2,2,1,221,Lost
505,5,13,645.59,3,2,1,321,Potential Loyalist
506,13,14,627.1899999999999,1,2,1,121,Lost
507,4,14,744.27,3,2,1,321,Potential Loyalist
508,17,13,664.9,1,2,1,121,Lost
509,2,16,563.97,4,3,1,431,Loyal Customers
510,15,16,744.3100000000001,1,3,1,131,Needs Attention
511,5,19,1019.49,3,4,1,341,Loyal Customers
512,15,16,773.29,1,3,1,131,Needs Attention
513,3,20,757.8,3,4,1,341,Loyal Customers
514,8,16,725.65,2,3,1,231,Needs Attention
515,6,13,722.56,2,2,1,221,Lost
516,6,19,874.74,2,4,1,241,Needs Attention
517,17,11,537.02,1,1,1,111,Lost
518,26,8,319.61,1,1,1,111,Lost
519,9,13,539.68,2,2,1,221,Lost
520,25,10,354.56,1,1,1,111,Lost
521,19,13,554.8,1,2,1,121,Lost
522,13,13,430.5,1,2,1,121,Lost
523,3,10,350.63,3,1,1,311,Potential Loyalist
524,12,13,692.6800000000001,1,2,1,121,Lost
525,2,13,594.78,4,2,1,421,New Customers
526,6,14,803.41,2,2,1,221,Lost
527,7,16,677.4,2,3,1,231,Needs Attention
528,7,18,956.0,2,3,1,231,Needs Attention
529,5,12,417.63,3,1,1,311,Potential Loyalist
530,13,14,601.84,1,2,1,121,Lost
531,9,16,712.28,2,3,1,231,Needs Attention
532,9,19,948.53,2,4,1,241,Needs Attention
533,6,21,1161.38,2,4,1,241,Needs Attention
534,4,10,490.42,3,1,1,311,Potential Loyalist
535,3,12,615.18,3,1,1,311,Potential Loyalist
536,8,13,590.73,2,2,1,221,Lost
537,3,17,665.3199999999999,3,3,1,331,Loyal Customers
538,2,13,680.27,4,2,1,421,New Customers
539,11,15,729.52,2,2,1,221,Lost
540,11,15,807.27,2,2,1,221,Lost
541,1,23,973.49,4,4,1,441,Loyal Customers
542,2,14,707.1,4,2,1,421,New Customers
543,24,17,776.14,1,3,1,131,Needs Attention
544,6,17,688.3399999999999,2,3,1,231,Needs Attention
545,6,17,756.9200000000001,2,3,1,231,Needs Attention
546,11,20,765.98,2,4,1,241,Needs Attention
547,2,15,685.76,4,2,1,421,New Customers
548,46,13,680.78,1,2,1,121,Lost
549,8,13,500.78999999999996,2,2,1,221,Lost
550,8,10,411.77,2,1,1,211,Lost
551,13,9,395.84,1,1,1,111,Lost
552,8,13,562.3,2,2,1,221,Lost
553,0,15,622.6,4,2,1,421,New Customers
554,4,16,807.24,3,3,1,331,Loyal Customers
555,8,16,814.63,2,3,1,231,Needs Attention
556,31,15,605.09,1,2,1,121,Lost
557,0,25,914.3199999999999,4,4,1,441,Loyal Customers
558,20,16,692.64,1,3,1,131,Needs Attention
559,9,18,751.99,2,3,1,231,Needs Attention
560,3,14,685.89,3,2,1,321,Potential Loyalist
561,0,20,955.23,4,4,1,441,Loyal Customers
562,1,17,990.25,4,3,1,431,Loyal Customers
563,12,18,819.76,1,3,1,131,Needs Attention
